tenure,last_active_days,usage_frequency,session_duration,complaints,monthly_charges,payment_missed,products_used,plan_type,churn
51,71,9,15,6,677,1,3,basic,0
37,26,6,33,5,395,0,3,premium,0
36,87,3,15,4,1484,0,2,premium,1
51,35,3,26,2,268,1,3,basic,0
43,11,9,13,7,1157,0,1,standard,0
44,67,4,37,7,326,0,2,standard,0
22,10,6,1,5,619,0,3,premium,0
40,14,4,9,4,1360,0,3,standard,0
38,1,6,18,2,617,1,2,basic,0
54,23,8,7,3,909,0,1,premium,0
49,70,0,20,0,888,0,3,standard,0
7,0,12,30,6,634,0,3,basic,1
14,46,1,2,5,1187,0,2,premium,1
8,28,6,39,2,999,0,3,standard,0
23,58,14,8,5,960,1,1,standard,1
34,34,7,14,7,1343,1,3,premium,0
18,6,9,7,0,350,1,1,premium,0
18,1,0,5,3,945,1,2,basic,1
9,52,11,35,3,1053,1,1,standard,0
23,80,1,17,5,720,0,2,basic,0
58,28,12,34,6,1004,0,3,basic,0
38,33,0,37,0,1197,1,1,basic,0
57,52,6,10,4,1121,0,3,standard,0
54,64,2,36,2,993,0,3,standard,0
54,54,14,24,5,605,0,1,basic,0
35,80,13,43,1,400,1,1,basic,0
42,24,6,35,2,1452,0,3,basic,0
37,43,10,17,1,211,0,3,standard,0
6,71,8,18,0,1491,0,3,premium,1
10,15,6,17,6,1180,0,1,basic,1
59,86,12,18,6,1189,0,2,standard,0
14,30,7,35,3,387,0,3,standard,0
56,3,12,22,0,921,0,2,premium,0
35,41,1,30,2,958,0,2,premium,0
44,9,13,25,6,539,0,1,basic,0
30,67,1,37,0,631,0,3,standard,0
58,36,12,37,2,909,1,3,standard,0
34,24,6,4,2,1084,1,1,basic,0
56,5,4,5,5,1270,0,2,standard,0
59,34,1,18,5,1368,0,3,basic,0
14,10,8,3,2,1187,0,1,premium,1
15,39,8,5,2,1154,0,1,basic,0
37,59,12,28,4,1172,1,2,standard,0
58,66,7,40,1,239,0,1,premium,0
59,47,8,13,2,756,0,2,standard,0
7,4,10,31,6,625,0,1,standard,0
29,11,6,2,7,1269,0,2,basic,0
24,34,5,19,5,785,0,3,basic,0
20,67,10,17,3,1117,0,2,basic,0
18,49,13,29,3,962,0,3,basic,0
26,45,1,29,3,1322,0,1,premium,0
52,31,1,14,3,1245,0,3,premium,0
38,14,1,35,7,1208,0,2,premium,0
8,59,13,25,0,719,1,3,premium,0
58,2,3,15,0,933,0,1,standard,0
38,47,8,22,5,700,0,3,basic,0
18,37,10,25,0,301,1,2,standard,0
12,45,14,16,5,1309,0,1,premium,1
13,25,5,39,1,1389,0,2,premium,0
55,43,0,40,2,516,0,1,premium,0
8,71,1,28,5,1307,0,3,basic,0
4,5,9,22,1,1094,0,2,standard,0
58,18,6,36,4,508,0,2,standard,0
22,36,7,41,2,1123,0,2,basic,0
24,19,4,4,3,731,0,2,standard,0
58,65,14,34,3,494,0,2,premium,0
15,25,7,36,7,677,0,1,premium,0
5,37,12,41,5,580,0,2,basic,0
57,27,1,35,4,460,0,3,basic,0
47,30,10,10,2,829,0,2,basic,0
43,75,0,20,3,1344,0,2,standard,0
56,43,7,28,6,819,0,1,premium,1
1,22,2,6,4,1282,0,2,basic,1
53,87,10,43,5,416,0,3,standard,0
20,22,13,16,1,945,0,1,basic,0
29,4,14,22,6,1416,1,3,standard,0
40,75,10,8,0,1013,1,2,premium,0
48,68,8,26,5,1443,0,2,basic,0
11,67,1,38,5,218,1,3,premium,1
11,0,7,7,0,924,0,2,basic,0
49,34,11,38,1,1490,0,2,standard,0
3,84,9,8,7,653,1,3,basic,1
36,14,10,23,5,697,0,2,premium,0
16,46,4,15,0,914,0,1,standard,0
53,51,13,27,4,950,0,2,basic,0
2,48,12,4,1,549,0,2,basic,1
42,60,9,36,3,1395,0,2,premium,0
54,20,5,28,0,1249,0,2,standard,0
50,23,2,36,3,1390,0,1,standard,0
50,68,14,35,3,1449,0,2,basic,0
11,9,8,14,4,708,0,1,basic,0
18,66,9,39,0,658,1,1,basic,0
46,35,7,37,0,272,0,1,basic,1
49,59,1,5,3,359,0,3,standard,0
6,1,6,44,1,813,0,2,standard,0
44,57,3,5,4,486,1,1,standard,1
16,11,7,20,2,436,0,3,basic,0
56,64,8,30,4,1307,0,1,premium,0
34,13,3,33,6,313,0,2,basic,0
1,10,2,23,1,1419,1,1,premium,1
12,48,9,38,1,1381,1,3,premium,0
52,13,8,15,4,777,0,1,premium,0
54,32,3,31,5,1032,0,3,basic,0
41,5,8,13,4,681,0,1,basic,0
32,12,14,14,3,1188,0,2,basic,0
23,82,14,5,2,977,0,2,premium,0
9,20,8,28,5,1082,0,2,standard,0
40,16,4,39,3,1019,0,2,premium,0
35,6,10,28,5,654,0,3,basic,0
27,20,5,38,6,860,1,1,standard,0
21,51,6,26,5,745,0,2,standard,0
52,28,5,42,4,753,1,3,premium,0
29,9,1,40,4,914,0,2,standard,0
17,59,6,24,4,666,0,3,standard,0
35,23,0,5,3,476,0,2,premium,0
19,6,2,28,2,641,0,2,premium,0
2,14,1,3,0,1035,1,2,standard,1
50,9,4,36,3,969,0,2,standard,0
15,16,7,18,6,687,0,2,standard,0
30,83,4,44,7,885,0,3,standard,0
47,17,4,13,5,860,1,2,standard,1
32,74,5,22,2,733,0,2,basic,0
15,22,7,44,4,477,0,2,standard,0
19,22,12,30,6,307,0,3,basic,0
5,2,0,4,7,1447,1,2,basic,1
46,90,10,2,0,311,1,2,basic,0
57,19,10,16,2,1214,0,2,basic,0
4,19,9,24,5,426,0,2,basic,0
17,70,3,29,5,535,0,2,basic,0
30,81,2,31,3,259,0,2,basic,0
53,30,3,19,7,939,0,2,basic,0
49,46,10,33,0,397,0,3,basic,0
9,89,4,10,1,1172,0,2,standard,0
59,50,4,19,1,746,0,3,premium,0
5,69,9,4,5,942,1,3,premium,1
41,53,13,44,3,1184,1,1,basic,0
28,13,7,10,7,1405,0,3,basic,0
36,55,10,20,1,449,0,1,basic,0
32,74,3,24,6,1143,1,1,standard,1
57,36,9,21,1,1354,0,1,basic,0
41,32,1,4,6,689,0,2,standard,0
34,27,9,43,0,622,0,2,basic,0
2,21,8,2,1,297,1,2,standard,1
47,39,5,10,2,442,1,1,basic,0
22,14,7,40,4,278,1,3,basic,0
58,27,9,2,0,1477,0,1,basic,0
59,49,10,19,4,506,0,1,basic,0
41,35,4,21,7,766,0,1,premium,0
2,6,2,3,2,239,0,2,basic,1
32,47,10,37,3,1189,0,1,premium,0
45,20,13,13,1,1483,1,3,standard,0
5,24,2,33,3,1129,0,2,premium,0
6,82,11,44,0,1142,0,1,basic,0
12,29,9,21,3,1441,0,1,basic,0
57,22,5,17,4,819,0,3,standard,0
16,33,1,35,7,447,0,1,premium,1
3,3,9,25,6,342,0,1,basic,0
14,75,0,39,0,1044,1,2,premium,1
53,71,13,35,2,795,0,2,basic,0
22,47,8,19,5,1146,1,2,premium,1
55,18,14,14,7,1133,0,1,basic,1
33,51,8,14,2,1020,0,1,standard,0
41,54,12,30,3,1258,0,3,standard,0
48,19,4,3,3,1212,0,3,standard,0
12,53,11,15,0,858,1,2,standard,0
20,28,2,4,6,547,0,2,standard,1
55,0,7,23,5,1485,1,1,basic,1
27,7,2,42,0,640,0,2,basic,0
13,60,5,8,2,603,0,1,premium,0
42,53,13,41,0,1016,0,1,basic,0
11,18,10,13,6,200,0,2,premium,0
45,11,12,33,4,801,1,3,basic,0
23,48,14,20,1,1189,1,2,basic,0
40,83,0,33,3,854,0,2,standard,0
14,81,2,9,0,970,0,1,premium,1
16,39,1,17,0,467,0,2,standard,0
57,37,11,21,5,1330,0,2,basic,0
58,29,11,44,1,394,1,3,standard,0
57,32,7,39,1,639,0,2,basic,0
47,19,2,29,1,1113,0,1,basic,0
5,7,1,12,5,1032,0,1,premium,1
24,58,2,11,4,1378,0,3,standard,0
53,29,9,37,1,324,0,2,standard,0
18,72,0,29,4,258,1,2,basic,1
49,12,1,22,4,542,0,1,basic,0
49,84,13,44,4,499,1,2,basic,0
17,81,7,22,0,961,0,2,basic,0
37,35,5,19,6,263,0,2,basic,0
39,4,0,20,0,757,0,3,premium,0
44,51,5,36,5,1439,0,2,premium,0
27,81,11,4,6,564,0,3,basic,1
17,71,2,38,2,642,0,3,basic,0
22,42,2,10,1,519,0,2,premium,0
56,29,8,30,6,1386,1,2,premium,0
37,12,7,8,4,387,0,3,premium,0
40,22,8,34,5,1483,0,1,basic,0
34,44,12,19,2,557,0,1,standard,0
16,59,1,2,1,1236,0,1,premium,1
55,26,5,29,6,520,0,1,basic,0
19,56,8,22,6,536,0,3,standard,0
50,13,1,28,5,1211,0,1,standard,1
59,86,7,18,3,1049,1,2,basic,1
29,25,1,32,5,493,1,2,standard,1
44,63,12,28,2,832,0,1,premium,0
13,82,0,6,7,890,0,2,standard,1
27,88,7,10,6,222,0,3,basic,0
25,72,4,20,2,1009,0,2,basic,0
35,46,1,14,2,1459,0,3,basic,0
9,72,5,11,5,1151,0,3,premium,1
9,87,7,7,3,473,0,3,basic,0
21,12,8,10,4,1267,0,2,basic,0
2,21,0,36,5,1361,0,2,basic,1
25,59,9,38,0,318,1,3,standard,0
27,52,9,30,0,1357,0,1,basic,0
12,15,10,36,4,1451,1,1,premium,0
25,71,12,22,2,843,1,2,premium,0
44,89,3,26,7,592,0,2,standard,0
32,27,5,41,0,1313,0,1,standard,0
53,71,7,4,6,1062,0,1,basic,1
24,53,11,31,0,885,0,1,basic,0
50,37,10,34,6,935,0,2,basic,0
22,61,1,14,1,501,0,1,basic,1
33,80,10,13,1,1062,0,3,basic,0
48,55,10,26,5,1216,0,2,premium,0
6,3,11,29,2,324,1,3,standard,0
55,7,12,42,7,677,0,1,standard,0
22,85,11,9,4,273,1,2,standard,0
21,87,9,40,1,655,1,1,basic,1
36,8,5,27,1,328,0,3,basic,0
53,34,2,39,2,917,0,3,basic,0
1,25,9,20,3,1489,1,3,basic,0
22,40,12,4,4,1479,0,2,standard,0
47,70,9,40,4,604,1,3,premium,0
45,7,8,19,7,814,0,2,basic,0
47,23,10,40,6,388,0,3,basic,0
34,56,0,23,4,1471,0,3,basic,0
54,69,4,10,7,590,0,1,standard,0
22,46,3,28,3,1261,0,2,standard,0
37,24,10,14,0,695,1,3,premium,0
21,53,4,8,0,471,0,2,standard,0
11,9,5,17,3,635,0,1,standard,0
25,50,3,17,0,1094,1,2,standard,0
39,56,0,34,2,880,0,1,basic,0
3,80,14,12,7,374,0,2,basic,1
4,17,0,19,2,687,1,2,premium,1
24,58,12,19,5,1088,0,2,standard,0
48,63,13,35,2,915,0,3,premium,0
44,22,1,22,2,512,1,1,standard,0
18,79,7,33,0,1235,0,1,basic,0
33,4,8,28,5,1292,0,3,basic,0
2,29,14,39,3,488,0,2,standard,0
19,53,12,20,4,537,1,3,basic,0
58,68,11,41,4,1305,0,2,basic,0
59,2,9,34,0,407,0,2,standard,0
47,19,10,41,5,347,0,2,standard,0
34,21,2,6,6,272,0,2,basic,0
1,18,9,25,1,1020,1,2,premium,1
22,29,8,28,0,1080,0,3,standard,0
6,47,5,17,1,569,0,1,premium,0
25,27,14,15,3,578,0,1,standard,0
20,39,6,23,6,1270,0,2,basic,1
34,39,10,3,5,1384,0,1,premium,0
59,62,12,3,1,1069,0,2,standard,0
42,80,8,6,2,494,0,2,premium,0
58,59,5,40,3,1475,0,3,standard,0
11,57,8,13,3,1437,0,1,standard,0
1,5,5,21,7,1124,0,1,standard,1
45,46,3,19,2,1163,0,1,basic,0
58,51,7,25,4,743,1,3,standard,0
58,38,0,21,4,336,0,3,basic,0
12,86,2,30,0,1094,0,1,standard,0
46,22,12,17,6,796,0,2,standard,0
51,35,1,9,1,1234,0,1,basic,0
15,27,7,8,2,336,0,2,standard,0
50,12,5,1,1,292,0,1,standard,0
29,38,7,26,0,270,0,3,standard,0
59,2,14,29,4,615,0,3,standard,0
56,64,12,22,7,624,0,1,premium,0
45,14,2,11,4,1141,0,3,premium,0
32,7,5,6,3,950,0,3,basic,0
45,78,3,29,2,522,0,2,basic,0
4,59,3,11,1,818,1,2,premium,1
34,60,7,15,7,1359,0,2,standard,1
32,57,3,17,2,684,0,2,basic,0
58,16,6,31,2,1057,1,2,standard,0
42,60,12,11,5,727,0,1,basic,0
44,10,14,16,0,713,0,2,standard,0
49,61,5,3,5,1445,0,2,premium,1
7,21,9,39,4,1174,1,2,premium,0
58,83,11,33,3,591,0,1,basic,0
56,45,1,6,0,255,0,2,standard,0
13,17,1,8,2,1405,0,3,premium,1
27,34,14,15,7,452,0,3,premium,0
54,74,13,35,5,365,0,3,standard,0
58,2,4,21,4,337,0,1,standard,0
2,9,12,43,0,1499,0,3,basic,0
5,50,4,12,1,1336,0,3,standard,0
18,26,6,18,7,670,1,2,basic,1
22,82,0,7,3,392,0,2,standard,1
29,45,13,20,1,1335,0,1,standard,0
28,55,9,30,4,1172,0,3,standard,0
11,71,11,40,2,1373,0,1,basic,0
46,61,10,7,7,1268,1,2,basic,1
9,34,2,20,4,1457,0,2,standard,0
12,48,0,42,5,1124,0,2,basic,1
34,19,1,38,7,1105,0,2,standard,0
29,55,11,10,6,1272,0,1,premium,0
4,81,5,24,6,989,0,1,standard,1
40,23,2,44,7,1368,0,3,basic,0
53,55,1,9,5,1312,0,2,premium,1
39,12,0,32,0,239,0,1,standard,0
12,43,5,19,3,960,1,2,basic,1
13,80,0,37,5,1178,0,2,premium,1
39,71,8,13,7,1410,0,2,basic,1
34,79,5,32,4,621,1,2,basic,0
35,9,2,12,0,1026,1,3,basic,0
58,83,6,22,3,724,0,2,basic,0
17,53,3,33,0,1110,0,1,basic,0
13,38,4,28,0,1495,0,3,standard,0
13,81,12,43,4,805,0,1,standard,0
31,52,6,30,0,507,1,3,premium,0
16,8,14,12,0,1460,0,2,basic,0
51,10,6,43,6,472,0,2,premium,0
56,5,5,38,4,692,1,2,premium,0
51,65,14,40,2,1070,0,2,standard,0
2,37,6,37,2,1467,0,1,basic,0
46,82,9,35,5,995,0,1,premium,0
8,87,1,4,5,1122,0,1,standard,1
54,72,9,20,7,1233,0,1,basic,0
49,14,2,12,0,361,1,2,premium,0
54,88,1,30,2,348,0,3,basic,0
33,37,12,15,1,449,0,2,standard,0
43,46,6,4,2,729,0,3,standard,0
40,9,8,8,6,402,1,1,standard,0
29,68,8,2,0,559,0,2,standard,0
26,76,10,8,6,1159,1,3,premium,1
52,88,11,1,6,477,0,2,basic,0
54,41,4,15,0,221,0,2,basic,0
17,37,0,14,4,973,0,1,basic,1
27,12,0,31,4,1215,1,1,premium,1
5,89,3,6,5,770,0,3,standard,1
13,6,11,15,2,774,1,2,basic,0
48,43,7,24,4,580,0,1,basic,0
13,69,9,14,4,1079,0,1,standard,1
2,30,2,8,7,370,0,1,premium,1
44,56,2,30,1,1453,0,2,standard,0
5,5,7,44,3,1316,1,1,premium,1
32,72,4,10,3,1229,0,1,basic,0
5,31,5,6,2,1416,0,3,basic,0
3,8,11,12,6,1493,0,1,premium,1
47,86,13,25,3,1460,0,2,premium,0
46,57,13,41,0,315,0,1,basic,0
2,11,8,42,1,253,0,2,basic,0
59,89,5,44,2,630,0,2,basic,0
27,26,14,8,6,902,0,2,basic,0
43,16,14,17,7,1180,0,1,basic,0
23,15,13,10,6,1403,0,2,basic,0
46,51,2,13,1,1244,1,3,basic,0
22,15,1,5,5,1253,0,2,basic,1
29,21,3,36,0,1210,0,1,standard,0
18,4,3,23,5,477,0,1,basic,0
42,6,3,19,1,677,0,3,standard,0
2,59,7,17,7,343,0,1,standard,1
11,84,3,7,1,505,0,2,standard,0
7,1,9,24,3,1331,0,1,basic,0
3,11,2,42,2,1080,1,3,basic,0
56,41,14,37,5,1460,0,3,basic,0
34,31,9,25,1,211,0,2,basic,0
2,0,2,36,7,1122,0,3,basic,0
37,27,3,39,7,1116,0,1,standard,0
56,69,3,36,5,405,1,3,standard,1
45,35,3,18,5,394,0,3,basic,0
39,77,5,12,7,1204,1,1,basic,1
17,40,5,44,1,308,1,2,basic,1
35,16,11,19,5,389,0,3,premium,0
9,28,5,25,6,1036,0,1,basic,1
47,53,7,11,4,253,1,3,standard,0
58,52,14,1,0,905,0,2,basic,0
27,75,3,20,0,442,0,2,standard,0
57,85,11,22,2,410,0,2,standard,0
9,19,7,19,7,634,0,2,basic,0
27,10,5,34,2,1498,0,1,basic,0
59,51,5,7,2,558,0,1,standard,0
43,50,4,37,5,799,1,3,premium,0
58,10,11,41,6,628,0,2,premium,0
54,28,2,33,3,981,0,2,premium,0
15,88,2,38,1,706,0,2,standard,0
23,88,9,7,5,1208,0,2,standard,1
1,11,4,34,3,1112,0,2,basic,1
50,72,12,35,7,1119,1,2,basic,1
29,15,2,31,3,620,0,3,premium,0
4,29,13,22,2,1289,0,3,premium,0
58,89,6,26,4,589,0,1,standard,0
31,29,8,42,0,1452,1,2,basic,0
2,51,6,44,5,473,0,3,basic,0
33,58,14,11,3,1090,0,2,premium,0
25,56,4,16,6,423,0,2,standard,0
32,68,6,5,1,1276,0,1,standard,0
19,9,11,29,6,234,0,2,standard,0
8,7,6,20,6,796,0,2,standard,0
7,40,5,24,0,200,0,2,standard,0
50,11,8,17,3,1136,0,1,standard,0
28,50,7,27,7,310,0,2,standard,0
57,66,9,8,5,805,0,1,basic,1
45,46,14,12,6,1172,0,1,premium,0
53,25,13,14,5,756,0,2,standard,0
28,59,10,33,2,1090,0,1,premium,0
35,39,5,13,5,1219,1,1,standard,1
55,85,4,26,7,284,1,1,basic,1
43,22,13,13,2,1448,0,1,basic,0
48,83,10,6,2,848,0,2,basic,0
45,76,0,23,3,300,1,1,standard,1
11,37,5,11,5,1033,1,1,standard,1
18,63,0,24,4,1258,1,1,basic,1
34,18,6,19,0,727,0,1,basic,0
16,54,1,34,0,244,0,2,standard,0
24,72,14,15,3,390,1,1,basic,0
15,51,4,5,3,278,0,2,premium,1
46,8,13,11,2,684,0,3,standard,0
10,72,3,7,1,771,0,3,standard,0
55,88,14,20,3,1406,0,2,standard,0
42,69,2,35,1,1085,0,2,basic,0
24,67,14,25,3,1150,1,1,standard,0
30,82,0,25,7,310,0,3,basic,0
45,76,6,27,1,745,0,3,basic,0
25,54,0,24,2,1338,0,1,basic,1
54,55,6,30,2,378,1,1,premium,0
1,28,14,8,7,907,0,2,basic,1
59,74,9,33,1,774,0,2,standard,0
5,47,2,35,3,1493,0,2,basic,1
50,77,1,15,6,1250,0,2,basic,1
47,76,8,34,7,551,0,3,premium,0
18,70,12,31,7,964,0,1,basic,0
37,77,8,30,4,539,0,3,basic,0
17,79,9,2,3,796,0,2,basic,0
5,19,2,41,4,908,1,1,standard,1
29,37,10,33,1,526,1,2,basic,0
18,26,10,32,0,483,0,2,premium,0
24,55,0,13,7,1241,0,2,standard,0
17,78,1,23,5,698,0,2,basic,1
6,85,9,1,3,693,0,3,basic,0
9,46,11,42,2,890,0,3,basic,0
22,62,8,35,5,485,0,3,premium,0
42,64,14,30,7,601,0,1,basic,0
56,18,8,44,1,1337,0,3,standard,0
51,0,10,21,4,691,0,2,basic,0
7,43,4,7,3,1385,0,2,standard,1
19,1,9,17,4,851,1,2,standard,1
18,5,12,33,6,734,0,3,premium,0
15,35,12,27,0,1292,0,3,basic,0
26,34,14,3,6,612,0,3,premium,0
32,30,1,43,6,816,0,1,standard,0
36,20,13,17,0,273,1,2,standard,0
16,40,14,27,3,386,1,1,basic,0
22,62,9,33,2,273,0,2,basic,0
24,39,13,33,0,927,1,1,standard,0
53,49,13,40,1,860,0,1,basic,0
42,83,4,18,0,272,1,1,basic,0
44,8,12,15,2,1187,0,2,premium,0
26,45,11,18,7,1354,0,3,standard,0
43,48,6,26,2,1067,1,2,standard,0
54,61,0,25,1,1341,0,2,standard,0
41,77,10,26,1,398,0,1,basic,0
4,25,10,2,5,819,0,3,standard,0
26,20,11,36,7,945,1,1,standard,0
2,19,3,3,6,1491,0,3,standard,1
13,63,3,22,1,723,1,2,basic,1
32,47,2,6,3,1378,1,1,basic,1
5,22,4,37,0,1494,0,1,standard,0
57,10,5,8,1,671,0,1,basic,0
34,40,9,17,0,1162,0,2,standard,0
13,84,5,4,1,396,0,1,standard,0
57,11,8,2,7,835,0,1,premium,1
29,75,12,14,7,1180,1,1,basic,1
26,37,5,44,5,755,1,1,basic,1
38,23,2,10,7,911,0,1,basic,0
28,56,3,32,3,482,0,3,basic,0
25,74,6,34,0,379,0,2,standard,0
47,32,4,34,3,634,0,2,basic,0
30,43,4,10,6,635,1,3,standard,0
42,18,1,37,5,1498,0,1,basic,1
34,52,8,8,1,256,0,1,basic,0
58,75,1,11,3,867,0,3,standard,0
7,25,9,24,3,215,0,2,premium,0
52,76,8,15,1,959,1,3,standard,0
48,84,5,1,3,210,0,3,premium,0
39,39,12,23,2,1367,0,3,premium,0
42,24,11,12,1,556,0,1,standard,0
35,68,1,34,4,814,1,2,basic,0
4,52,0,7,7,1328,1,3,basic,1
19,53,2,10,3,1213,1,2,standard,1
12,35,4,3,0,772,1,2,standard,0
29,40,14,15,3,881,1,1,basic,0
32,89,0,27,7,1393,0,1,basic,1
49,87,7,31,6,1126,1,1,standard,1
49,89,8,13,6,1159,0,2,premium,0
49,75,6,21,7,907,1,1,premium,1
15,22,11,16,4,1116,0,2,premium,0
36,83,3,19,4,1230,0,1,basic,0
55,9,9,41,4,430,1,2,standard,0
21,29,4,9,0,268,0,1,standard,0
43,62,2,36,1,1215,1,2,standard,0
1,6,9,27,4,291,1,3,standard,0
54,24,11,5,7,1280,0,2,premium,0
3,24,14,38,4,254,0,1,premium,0
48,86,5,13,0,400,0,3,premium,0
47,1,14,36,2,1036,1,1,standard,0
36,39,12,4,5,403,1,1,basic,1
19,11,1,17,5,543,1,1,premium,1
9,14,11,24,3,618,0,1,premium,0
47,58,13,39,3,1053,0,3,standard,0
39,48,12,18,3,1021,1,2,basic,0
9,71,14,35,1,588,0,2,premium,0
28,75,1,43,5,1373,0,1,basic,1
42,4,11,42,5,579,1,2,standard,0
58,16,3,7,5,1008,0,2,basic,0
58,50,13,34,3,1301,1,2,basic,0
22,73,2,3,4,531,0,1,basic,1
32,73,8,27,4,922,0,3,premium,0
4,39,5,35,6,1279,0,3,premium,0
40,80,8,2,0,379,0,1,premium,0
43,54,2,35,3,641,1,3,premium,0
57,39,5,16,7,372,0,1,standard,0
53,55,9,42,3,361,0,1,standard,0
20,56,1,16,0,595,0,3,premium,0
27,69,5,2,7,413,0,2,basic,1
50,4,6,18,5,572,1,2,basic,0
59,47,11,18,6,424,0,2,standard,0
5,52,6,20,7,1412,0,1,basic,1
42,46,4,38,4,670,1,3,standard,0
54,50,6,4,5,1226,1,2,standard,0
11,26,0,21,6,934,0,1,basic,1
35,30,11,39,0,480,1,2,basic,0
44,63,9,5,0,457,0,3,premium,0
47,69,0,3,1,1205,1,2,standard,1
26,71,4,15,2,855,0,2,premium,0
21,65,5,27,5,1313,0,2,premium,0
8,70,5,21,7,570,0,1,standard,1
29,8,14,30,1,701,0,1,basic,0
23,40,7,29,7,813,0,2,premium,0
24,76,9,29,2,1187,0,2,standard,0
36,26,9,2,0,1296,1,3,standard,0
2,57,9,18,6,1225,0,2,premium,1
1,0,0,1,4,827,1,1,premium,1
45,25,12,1,7,710,1,3,basic,1
59,80,2,15,7,1494,0,2,premium,1
10,74,1,34,6,496,0,2,basic,0
7,48,9,33,4,375,0,3,basic,0
28,76,0,35,7,235,0,1,standard,0
51,21,7,43,4,556,0,1,premium,0
22,65,4,36,7,238,0,1,standard,0
51,72,14,14,0,300,0,1,standard,0
51,83,1,41,2,1346,1,2,standard,1
55,11,2,5,0,705,1,3,basic,0
36,17,8,29,4,1337,0,1,standard,1
29,3,1,44,6,919,1,3,premium,1
48,88,8,38,4,907,0,2,basic,0
34,4,5,5,6,756,1,1,basic,1
57,29,8,26,1,261,0,2,standard,0
35,54,6,9,1,1008,0,2,premium,0
42,43,9,43,6,1385,0,1,basic,0
13,2,9,24,4,1421,1,2,premium,0
26,17,4,36,7,1147,0,3,basic,0
30,7,1,9,2,1499,0,2,basic,0
19,49,9,29,6,368,0,3,basic,0
7,25,11,8,4,305,0,3,standard,0
23,17,1,30,1,1367,0,2,standard,0
2,48,5,38,1,1439,0,2,standard,0
